id,maxtemp,dewpoint,humidity,cloud,sunshine,windspeed,maxt-dew,cloud_humidity,cloud_humidity/Press,clo^2,wi,sun_humidity,rainfall
0,21.2,19.4,87.0,88.0,1.1,17.2,1.8000000000000007,7656.0,7.525063888342835,7744.0,60.870000000000005,0.012643678160919542,1
1,16.2,15.4,95.0,91.0,0.0,21.9,0.7999999999999989,8645.0,8.479646885728298,8281.0,65.3,0.0,1
2,19.4,9.3,75.0,47.0,8.3,18.1,10.099999999999998,3525.0,3.442046675129382,2209.0,41.61,0.11066666666666668,1
3,18.1,16.8,95.0,95.0,0.0,35.6,1.3000000000000007,9025.0,8.905664101045984,9025.0,66.5,0.0,1
4,21.3,9.6,52.0,45.0,3.6,24.8,11.700000000000001,2340.0,2.290076335877863,2025.0,33.22,0.06923076923076923,0
5,20.6,12.5,79.0,81.0,0.0,15.7,8.100000000000001,6399.0,6.256966852449398,6561.0,55.900000000000006,0.0,1
6,19.5,11.3,56.0,46.0,7.6,28.4,8.2,2576.0,2.5185764567852953,2116.0,33.92,0.1357142857142857,0
7,15.8,11.8,96.0,100.0,0.0,52.8,4.0,9600.0,9.414533686378347,10000.0,68.4,0.0,1
8,17.6,12.5,86.0,100.0,0.0,37.5,5.100000000000001,8600.0,8.452919205818754,10000.0,64.4,0.0,1
9,16.5,8.6,77.0,84.0,1.0,38.3,7.9,6468.0,6.307782328847279,7056.0,55.7,0.012987012987012988,0
10,16.3,14.0,97.0,100.0,0.0,24.4,2.3000000000000007,9700.0,9.539732494099136,10000.0,68.80000000000001,0.0,1
11,16.2,12.4,98.0,100.0,0.0,23.5,3.799999999999999,9800.0,9.679012345679013,10000.0,69.2,0.0,1
12,15.0,12.0,77.0,86.0,0.0,32.4,3.0,6622.0,6.489611916895336,7396.0,56.6,0.0,1
13,13.5,11.8,87.0,92.0,0.0,37.0,1.6999999999999993,8004.0,7.905185185185185,8464.0,62.400000000000006,0.0,1
14,17.8,12.1,77.0,85.0,1.2,20.9,5.700000000000001,6545.0,6.426747839748625,7225.0,55.94,0.015584415584415584,1
15,15.3,11.2,79.0,91.0,0.3,20.0,4.100000000000001,7189.0,7.018451625500342,8281.0,58.81,0.0037974683544303796,1
16,16.3,2.0,79.0,70.0,6.8,30.3,14.3,5530.0,5.408312958435208,4900.0,50.56,0.08607594936708861,1
17,17.5,11.8,68.0,60.0,2.5,13.4,5.699999999999999,4080.0,3.943553063986082,3600.0,44.45,0.03676470588235294,0
18,16.8,12.9,76.0,77.0,0.0,20.5,3.9000000000000004,5852.0,5.714285714285714,5929.0,53.5,0.0,1
